season_id,pitcher_id,pitch_hand,pitch_type,arm_angle,horiz_movement,vert_movement
2025,676917,R,SI,43.9,13.697241379310345,7.841379310344828
2025,676961,R,CH,43.1,14.651020408163266,6.555102040816327
2025,676961,R,CU,43.1,-7.496296296296296,-11.238888888888889
2025,676961,R,FC,43.1,-1.22,11.492857142857142
2025,676961,R,FF,43.1,5.550694444444445,16.509722222222223
2025,676961,R,SI,43.1,15.627053140096619,10.202898550724639
2025,676961,R,SL,43.1,-4.722222222222222,1.192929292929293
2025,676962,R,CH,45,11.23,7.445
2025,676962,R,FF,45,7.413803680981595,16.98721881390593
2025,676974,R,CH,36.9,15.642777777777777,1.958888888888889
2025,676974,R,FF,36.9,9.067099567099568,15.402597402597403
2025,676974,R,SI,36.9,14.961267605633802,5.427464788732395
2025,676974,R,SL,36.9,-2.4400544959128063,-1.269482288828338
2025,676974,R,ST,36.9,-11.034453781512605,-4.329411764705882
2025,676979,L,CH,35,16.48860759493671,8.479746835443038
2025,676979,L,FC,35,-3.6618721461187214,6.189383561643836
2025,676979,L,FF,35,8.03102541630149,15.94487291849255
2025,676979,L,SI,35,16.281124497991968,8.076305220883533
2025,676979,L,ST,35,-13.798406374501992,-2.987450199203187
2025,677161,R,CH,36.5,18.01159420289855,1.5565217391304347
2025,677161,R,FC,36.5,-2.2857142857142856,8.818131868131868
2025,677161,R,FF,36.5,9.450862068965517,15.030172413793103
2025,677161,R,SI,36.5,16.047191011235956,11.4
2025,677161,R,ST,36.5,-17.160833333333333,2.6983333333333333
2025,677651,R,FF,37.6,9.61923076923077,17.7
2025,677865,L,SI,29.4,17.801785714285714,2.882142857142857
2025,677865,L,ST,29.4,-19.556043956043958,-1.832967032967033
2025,677944,R,CH,39.8,14.088387096774193,3.275483870967742
2025,677944,R,CU,39.8,-9.237941176470589,-12.762058823529411
2025,677944,R,FC,39.8,-0.7910714285714286,7.041071428571429
2025,677944,R,FF,39.8,10.73726362625139,15.838042269187987
2025,677944,R,SI,39.8,16.2647577092511,8.669162995594714
2025,677944,R,SL,39.8,-5.335416666666666,0.50546875
2025,677952,R,CU,41.1,-7.9655172413793105,-12.391810344827586
2025,677952,R,FF,41.1,7.307645259938838,15.738837920489297
2025,677952,R,SI,41.1,15.558282208588958,8.41042944785276
2025,677952,R,SL,41.1,-1.9595930232558139,5.588372093023255
2025,677955,R,CH,25.3,13.406666666666666,1.6758333333333333
2025,677955,R,FF,25.3,10.674107142857142,13.107142857142858
2025,677955,R,SI,25.3,15.38695652173913,7.59927536231884
2025,677955,R,SL,25.3,-4.542857142857143,1.626890756302521
2025,677958,R,CH,29.7,15.72463768115942,5.746376811594203
2025,677958,R,CU,29.7,-8.30281690140845,-11.492957746478874
2025,677958,R,FC,29.7,-1.2996503496503498,5.282867132867133
2025,677958,R,FF,29.7,11.111842105263158,11.601754385964913
2025,677958,R,SI,29.7,16.714675767918088,6.191467576791809
2025,677958,R,SL,29.7,-1.7594444444444444,-1.9016666666666666
